WD24CD,WD24NM,CED24CD,CED24NM,LAD24CD,LAD24NM,CTY24CD,CTY24NM,ObjectId
E05013050,Abbey,E58000050,Abbey ED,E07000008,Cambridge,E10000003,Cambridgeshire,1
E05013053,Cherry Hinton,E58000050,Abbey ED,E07000008,Cambridge,E10000003,Cambridgeshire,2
E05013061,Romsey,E58000050,Abbey ED,E07000008,Cambridge,E10000003,Cambridgeshire,3
E05011256,Alconbury,E58000051,Alconbury & Kimbolton ED,E07000011,Huntingdonshire,E10000003,Cambridgeshire,4
E05011262,Great Staughton,E58000051,Alconbury & Kimbolton ED,E07000011,Huntingdonshire,E10000003,Cambridgeshire,5
E05011267,Kimbolton,E58000051,Alconbury & Kimbolton ED,E07000011,Huntingdonshire,E10000003,Cambridgeshire,6
E05011278,"Stilton, Folksworth & Washingley",E58000051,Alconbury & Kimbolton ED,E07000011,Huntingdonshire,E10000003,Cambridgeshire,7
E05013051,Arbury,E58000052,Arbury ED,E07000008,Cambridge,E10000003,Cambridgeshire,8
E05013052,Castle,E58000052,Arbury ED,E07000008,Cambridge,E10000003,Cambridgeshire,9
E05013056,King's Hedges,E58000052,Arbury ED,E07000008,Cambridge,E10000003,Cambridgeshire,10
E05013063,West Chesterton,E58000052,Arbury ED,E07000008,Cambridge,E10000003,Cambridgeshire,11
E05012937,North Baddesley,E58001783,Baddesley ED,E07000093,Test Valley,E10000014,Hampshire,4471
E05012085,Andover Downlands,E58001780,Andover North ED,E07000093,Test Valley,E10000014,Hampshire,4496
